Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-05-12,6212.92,6212.92,6154.36,6212.42,5770012
2010-05-13,6268.59,6268.59,6193.29,6193.29,5164380
2010-05-14,6111.18,6127.14,6095.06,6095.06,5133739
2010-05-17,6129.62,6155.46,6114.52,6155.46,6090441
2010-05-18,6215.77,6244.32,6215.77,6244.32,4913710
2010-05-19,6067.46,6100.08,6046.46,6046.46,7888134
2010-05-20,6066.43,6066.43,5824.91,5824.91,6924006
2010-05-21,5918.81,5918.81,5794.23,5883.36,6931633
2010-05-24,5901.58,5948.02,5901.58,5948.02,3470312
2010-05-25,5809.2,5809.2,5772.07,5785.63,4740456
2010-05-26,5954.13,6045.28,5918.59,6045.28,12372305
2010-05-27,6062.38,6127.89,6062.38,6127.89,4057633
2010-05-28,6193.26,6262.14,6193.26,6262.14,5107871
2010-05-31,6234.76,6307.98,6234.76,6307.98,2474512
2010-06-01,6160,6185.72,6160,6171.78,3336290
2010-06-02,6104.52,6138.81,6104.52,6133.98,5179673
2010-06-04,6141.44,6141.44,5921.79,5981.17,7110975
2010-06-07,5862.86,5896.63,5862.86,5896.63,7406017
2010-06-08,5846.86,5900.53,5846.86,5881.09,4857682
2010-06-09,5848.23,5943.47,5848.23,5943.47,5758449
2010-06-10,5985.82,6069.92,5985.82,6069.92,3842256
2010-06-11,6061.63,6061.63,5963.33,6030.91,4190312
2010-06-14,6125.12,6131.62,6086.09,6086.09,2519308
2010-06-15,6096.81,6119.43,6096.81,6100.53,1907403
2010-06-16,6137.25,6137.5,6116.11,6116.11,3336447
2010-06-17,6100.5,6100.5,6033.76,6033.76,5898479
2010-06-18,6016.23,6016.23,5918.17,5991.77,10522024
2010-06-21,6077.06,6091.21,6077.06,6091.21,5068303
2010-06-22,6072.5,6087.1,6066.53,6087.1,5094661
2010-06-23,6019.66,6024.55,5977.2,5977.2,4198986
2010-06-24,5899.39,5929.74,5899.39,5929.74,2804266
2010-06-25,5933.68,5978.95,5933.68,5963.9,3838031
2010-06-28,6001.88,6001.88,5959.99,5978.08,2051939
2010-06-29,5831.08,5837.82,5788.87,5788.87,4463636
2010-06-30,5808.77,5808.77,5740.82,5786.52,5560402
2010-07-01,5723.86,5790.68,5723.86,5751.39,4335203
2010-07-02,5761.9,5801.24,5761.9,5801.24,3469785
2010-07-05,5792.53,5792.53,5785.62,5785.62,1177533
2010-07-06,5863.5,5915.44,5863.5,5915.44,3947501
2010-07-07,5820.28,5895.14,5820.28,5895.14,4321926
2010-07-08,5930.7,5930.7,5885,5885,4884485
2010-07-09,5875.49,5886.48,5850.22,5886.48,2347177
2010-07-12,5907.63,5925.92,5907.63,5915.63,4437332
2010-07-13,5956.26,6015.44,5956.26,5990.47,7245419
2010-07-14,6071.12,6071.12,6064.93,6064.93,5353469
2010-07-15,6077.49,6099.4,6077.49,6099.4,3603067
2010-07-16,6073.57,6073.57,6038.3,6038.3,2535883
2010-07-19,6035.2,6035.2,6014.44,6024.91,4232767
2010-07-20,6024.13,6024.13,5966.09,5966.09,3554203
2010-07-21,6046.82,6072.22,6046.82,6072.22,8331063
2010-07-22,6104.52,6137.64,6104.52,6137.64,3985041
2010-07-23,6194.52,6194.52,6176.83,6176.83,4777285
2010-07-26,6215.45,6290.86,6215.45,6290.86,4549449
2010-07-27,6283,6308.74,6278.8,6278.8,4788215
2010-07-28,6244.69,6244.69,6213.12,6213.12,2878807
2010-07-29,6226.44,6226.44,6189.9,6189.9,3057103
2010-07-30,6134.39,6134.39,6059.83,6124.18,3941958
2010-08-02,6242.19,6331.69,6242.19,6331.69,5197359
2010-08-03,6374.93,6374.93,6343.6,6343.6,4446551
2010-08-04,6296.63,6355.69,6296.63,6355.69,2626361
2010-08-05,6338.03,6338.03,6283.85,6283.85,3304552
2010-08-06,6325.51,6325.51,6242.9,6295.02,1836282
2010-08-09,6304.26,6304.26,6264.25,6264.25,1960877
2010-08-10,6179.37,6179.37,6142.04,6142.04,3582587
2010-08-11,6080.07,6084.17,6080.07,6084.17,2663916
2010-08-12,6051.48,6111.02,6051.48,6111.02,2322681
2010-08-13,6082,6082,6018.89,6018.89,2720441
2010-08-16,6043.35,6129.62,6043.35,6129.62,1710570
2010-08-17,6133.14,6167.44,6133.14,6159.04,2658374
2010-08-18,6133.28,6142.49,6130.84,6130.84,3207982
2010-08-19,6127.91,6127.91,6050.04,6050.04,4648634
2010-08-20,5995.79,6013.03,5995.79,6013.03,1891642
2010-08-23,6030.12,6051.54,6030.12,6051.54,3897152
2010-08-24,5971.81,5971.81,5907.07,5907.07,4361869
2010-08-25,5884.3,5884.3,5830.96,5830.96,5277338
2010-08-26,5886.97,5914.13,5883.56,5883.56,4406140
2010-08-27,5892.18,5947.57,5892.18,5947.57,4036288
2010-08-30,5965.37,5965.37,5899.08,5899.11,1896850
2010-08-31,5821.74,5914.77,5821.74,5914.77,5152712
2010-09-01,5869.94,5977.34,5869.94,5977.34,6822785
2010-09-02,6039.97,6050.15,6022.42,6022.42,3925702
2010-09-03,6017.61,6046.83,6017.61,6046.83,2609050
2010-09-06,6052.57,6076.3,6052.57,6071.58,1564271
2010-09-07,6080.93,6080.93,6071.34,6079.72,3157320
2010-09-08,6095.32,6208.56,6095.32,6208.56,6153600
2010-09-09,6201.12,6218.29,6201.12,6217.3,2369655
2010-09-10,6173.55,6173.55,6146.89,6168.26,6824702
